UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES;
 PUESTO DE HONTORIA DEL PINAR;CASTILLA Y LEON;BURGOS;HONTORIA DEL PINAR; C/ GRAL. YAGUE, 24;9660;947386002;;
 PUESTO DE HUERTA DEL REY;CASTILLA Y LEON;BURGOS;HUERTA DEL REY; C/ ARIAS DE MIRANDA, 13;9430;947388038;;
 PUESTO DE LA PUEBLA DE ARGANZON;CASTILLA Y LEON;BURGOS;LA PUEBLA DE ARGANZON; C/ FRANCISCO DE LONGA, 24;9215;945373012;ELIMINAR, ESTA DUPLICADO;
 PUESTO DE LERMA;CASTILLA Y LEON;BURGOS;LERMA; SUBIDA SAN MIGUEL, 2-3;9340;947170037;;
 PUESTO DE MEDINA DE POMAR;CASTILLA Y LEON;BURGOS;MEDINA DE POMAR; AVDA. SANTANDER, 7;9500;947190706;;
 PUESTO DE MELGAR FERNAMENTAL;CASTILLA Y LEON;BURGOS;MELGAR DE FERNAMENTAL;C/ CALVARIO N� 1;9100;947372018;;
 PUESTO DE MIRANDA DE EBRO;CASTILLA Y LEON;BURGOS;MIRANDA DE EBRO;C/ DUQUE DE AHUMADA, 2;9200;947310039;;
 PUESTO DE O�A;CASTILLA Y LEON;BURGOS;O�A;C/ TAMAYO, 4;9530;947300013;;
 PUESTO DE PANCORBO;CASTILLA Y LEON;BURGOS;PANCORBO; C/ REAL, 89;9280;947354002;;
 PUESTO DE PRADOLUENGO;CASTILLA Y LEON;BURGOS;PRADOLUENGO; C/ FELIX RODRIGUEZ DE LA FUENTE, 6;9260;947586005;;
 PUESTO DE QUINCOCES DE YUSO;CASTILLA Y LEON;BURGOS;QUINCOCES DE YUSO; CAMINO RELLOSO, 21;9510;947194015;;
 PUESTO DE QUINTANA M.GALINDEZ;CASTILLA Y LEON;BURGOS;QUINTANA MARTIN GALINDEZ; CTRA. MIRANDA, 83;9210;947358718;;
 PUESTO DE QUINTANAR DE LA SIERRA;CASTILLA Y LEON;BURGOS;QUINTANAR DE LA SIERRA; C/ LOS ANGELES, 17;9670;947395011;;
 PUESTO DE ROA DE DUERO;CASTILLA Y LEON;BURGOS;ROA DE DUERO; CTRA. PEDROSA, 20;9300;947540013;;
 PUESTO DE SALAS DE LOS INFANTES;CASTILLA Y LEON;BURGOS;SALAS DE LOS INFANTES; C/ JUAN YAGUE ,  11;9600;947380010;;
 PUESTO DE SANTA MARIA DEL CAMPO;CASTILLA Y LEON;BURGOS;SANTA MARIA DEL CAMPO; C/ ANTONIO SANCHEZ, 27;9342;947174133;;
 PUESTO DE SEDANO;CASTILLA Y LEON;BURGOS;SEDANO; C/ BURGOS, 78;9142;947150003;;
 PUESTO DE SONCILLO;CASTILLA Y LEON;BURGOS;SONCILLO; CTRA. LAS TORRES, S/n;9572;947153011;;
 PUESTO DE SOTOPALACIOS;CASTILLA Y LEON;BURGOS;SOTOPALACIOS; C/ CARREBARRIUSO, 15;9140;947441032;;
 PUESTO DE TORRESANDINO;CASTILLA Y LEON;BURGOS;TORRESANDINO; CTRA. BURGOS, 72;9310;947551122;;
 PUESTO DE TREVI�O;CASTILLA Y LEON;BURGOS;CONDADO DE TREVI�O; CTRA. MIRANDA DE EBRO, 32;9215;945360004;ELIMINAR, ESTA DUPLICADO;
 PUESTO DE VILLADIEGO;CASTILLA Y LEON;BURGOS;VILLADIEGO; C/ MELGAR S/N;9120;947361604;;
 PUESTO DE VILLARCAYO;CASTILLA Y LEON;BURGOS;VILLARCAYO; C/ DR. ALBI �ANA,  44;9550;947131017;;
 PUESTO DE VILLASANA MENA;CASTILLA Y LEON;BURGOS;VILLASANA DE MENA; C/ DR. ELADIO BUSTAMANTE, 43;9580;947126011;;
PUESTO PRINCIPAL DE ALFOZ DE BURGOS;CASTILLA Y LEON;BURGOS;BURGOS; AVDA. DE CANTABRIA, 87-95;9006;947244820;;
 U. O. P. J. BURGOS;CASTILLA Y LEON;BURGOS;BURGOS; AVDA. DE CANTABRIA, 93;9006;947244144;;
 C.O.S.;CASTILLA Y LEON;LEON;LEON; AVDA. FERNANDEZ LADREDA, 65 - BLQ:21;24005;987221100;;
 CMDA. LEON;CASTILLA Y LEON;LEON;LEON; AVDA. FERNANDEZ LADREDA, 65 - BLQ:22;24005;987253211;;
 COMPA�IA DE ASTORGA;CASTILLA Y LEON;LEON;ASTORGA; C/ MAYUELO, 49;24700;987615128;;
 COMPA�IA DE LEON;CASTILLA Y LEON;LEON;LEON; AVDA. FERNANDEZ LADREDA, 65 - BLQ:11;24005;987344278;;
 COMPA�IA DE PONFERRADA;CASTILLA Y LEON;LEON;PONFERRADA; AVDA. DE ASTURIAS, 40;24400;987456486;;
 COMPA�IA DE VILLABLINO;CASTILLA Y LEON;LEON;VILLABLINO; C/ LA LIBERTAD S/N;24100;987470025;;
 G. R. S. 6;CASTILLA Y LEON;LEON;LA VIRGEN DEL CAMINO; PLAZA CUATRO VIENTOS, 21;24198;987302013;;
 PUESTO AUXILIAR DE TORRE DEL BIERZO;CASTILLA Y LEON;LEON;TORRE DEL BIERZO; C/ VICENTE ALEXANDRE, 38;24370;987536072;;
 PUESTO AUXILIAR DE TREMOR DE ARRIBA;CASTILLA Y LEON;LEON;TREMOR DE ARRIBA; C/ ESCOBALON, 2;24377;987530160;;
 PUESTO AUXILIAR DE VILLASECA DE LACIANA;CASTILLA Y LEON;LEON;VILLASECA DE LACIANA; BARRIO DEL PILAR, S/N;24140;987483513;;
 PUESTO DE ALIJA INFANTADO;CASTILLA Y LEON;LEON;ALIJA DEL INFANTADO; C/ LA BA�EZA, 67;24761;987667202;;
 PUESTO DE ALMANZA;CASTILLA Y LEON;LEON;ALMANZA; AVDA. EUROPA, 24;24170;987710005;;
 PUESTO DE ASTORGA;CASTILLA Y LEON;LEON;ASTORGA; C/ MAYUELO, 49;24700;987615128;;
 PUESTO DE BENAVIDES;CASTILLA Y LEON;LEON;BENAVIDES DE ORBIGO; C/ COSTANICAS, 2;24280;987370038;;
 PUESTO DE BO�AR;CASTILLA Y LEON;LEON;BO�AR; C/ CUARTEL DE LA GUARDIA CIVIL, 9;24850;987735331;;
 PUESTO DE CACABELOS;CASTILLA Y LEON;LEON;CACABELOS; PLAZA DE LA ESCUELA, 1;24540;987546014;;
 PUESTO DE CARMENES;CASTILLA Y LEON;LEON;CARMENES;C/ ANTONIO FERN�NDEZ GARC�A, 22;24838;987576402;;
 PUESTO DE CARRIZO DE LA RIBERA;CASTILLA Y LEON;LEON;CARRIZO DE LA RIBERA; AVDA. PUENTE DE HIERRO, 2;24270;987357017;;
 PUESTO DE CISTIERNA;CASTILLA Y LEON;LEON;CISTIERNA; AVDA. CONSTITUCION, 14;24800;987700082;;
 PUESTO DE PUENTE DOMINGO FLOREZ;CASTILLA Y LEON;LEON;PUENTE DE DOMINGO FLOREZ; C/ CHAO DO MARCO, 48;24380;987460002;;
 PUESTO DE FABERO DEL BIERZO;CASTILLA Y LEON;LEON;FABERO; C/ GARCIA LORCA, 7;24420;987550002;;
 PUESTO DE GRADEFES;CASTILLA Y LEON;LEON;GRADEFES; C/ SAN BERNARDO, S/N;24160;987333154;;
 PUESTO P. DE LA BA�EZA;CASTILLA Y LEON;LEON;LA BA�EZA; C/ ANTONIO PALAU, 2;24750;987656073;;
 PUESTO DE LA MAGDALENA;CASTILLA Y LEON;LEON;LA MAGDALENA; CTRA. LEON - CABOALLES, 5;24120;987581017;;
 PUESTO DE LA ROBLA;CASTILLA Y LEON;LEON;LA ROBLA; AVDA. RAMON Y CAJAL, 147;24640;987570004;;
 PUESTO DE MANSILLA DE LAS MULAS;CASTILLA Y LEON;LEON;MANSILLA DE LAS MULAS; C/ VILLA DEL LIL, 2;24210;987310008;;
 PUESTO DE MATALLANA DE TORIO;CASTILLA Y LEON;LEON;MATALLANA DE TORIO; C/ CUARTEL, 2;24830;987591002;;
 PUESTO DE LA POLA DE GORDON;CASTILLA Y LEON;LEON;LA POLA DE GORDON; C/ LA CONSTITUCION, 148;24600;987588002;;
 PUESTO DE PONFERRADA;CASTILLA Y LEON;LEON;PONFERRADA; AVDA. DE ASTURIAS, 40;24400;987456486;;
 PUESTO DE PUEBLA DE LILLO;CASTILLA Y LEON;LEON;PUEBLA DE LILLO; CTRA. LEON - SAN ISIDRO;24855;987731004;;
 PUESTO DE RIA�O;CASTILLA Y LEON;LEON;RIA�O; C/ SEDE�AL S/N;24900;987740677;;
 PUESTO DE SAHAGUN;CASTILLA Y LEON;LEON;SAHAGUN; AVDA. DOCTORES BERMEJO Y CALDERON, 1;24320;987780845;;
 PUESTO DE SAN EMILIANO;CASTILLA Y LEON;LEON;SAN EMILIANO; PLAZA DEL DUQUE DE AHUMADA S/N;24144;987594111;;
 PUESTO DE SANTA MARIA DEL PARAMO;CASTILLA Y LEON;LEON;SANTA MARIA DEL PARAMO; AVDA. DEL ESLA, 36 - 38;24240;987350486;;
 PUESTO DE TORAL DE LOS VADOS;CASTILLA Y LEON;LEON;TORAL DE LOS VADOS; AVDA. SANTALLA DE OSCOS, 174;24560;987544272;;
 PUESTO DE TORENO;CASTILLA Y LEON;LEON;TORENO; C/ EL ROLLO, 4;24450;987533002;;
 PUESTO DE TRUCHAS;CASTILLA Y LEON;LEON;TRUCHAS; C/ JUGADERO, 22;24740;987670284;;
 PUESTO DE VALDERAS;CASTILLA Y LEON;LEON;VALDERAS; C/ VILLANUEVA, 1;24220;987762054;;
 PUESTO DE VALENCIA DON JUAN;CASTILLA Y LEON;LEON;VALENCIA DE DONJUAN; AVDA. DE ASTURIAS, 1;24200;987751200;;
 PUESTO DE VEGAS DEL CONDADO;CASTILLA Y LEON;LEON;VEGAS DEL CONDADO; PLAZA ALCALDE MOISES GARCIA JALON, 9;24153;987340228;;
 PUESTO DE VEGUELLINA;CASTILLA Y LEON;LEON;VEGUELLINA DE ORBIGO; C/ PIO DE CELA, 86;24350;987376331;;
 PUESTO DE VILLABLINO;CASTILLA Y LEON;LEON;VILLABLINO; C/ LA LIBERTAD S/N;24100;987470025;;
 PUESTO DE VILLAFRANCA DEL BIERZO;CASTILLA Y LEON;LEON;VILLAFRANCA DEL BIERZO; C/ COSTELO, 7;24500;987540047;;
 PUESTO P. DE ARMUNIA;CASTILLA Y LEON;LEON;ARMUNIA; AVDA. SAN JUAN BOSCO, 28;24009;987200307;;
 PUESTO P. DE BEMBIBRE;CASTILLA Y LEON;LEON;BEMBIBRE; AVDA. VILLAFRANCA, 48;24300;987510003;;
GREIM SABERO;CASTILLA Y LEON;LEON;SABERO;C/ CABO CALVO, 10;24810;987718004;;
UNIDAD A�REA (LE�N);CASTILLA Y LEON;LEON;LA VIRGEN DEL CAMINO; AVDA. DE LA AVIACION, 1 (BASE AEREA);24198;987300514;;
 ZONA CASTILLA Y LEON;CASTILLA Y LEON;LEON;LEON; AVDA. FERNANDEZ LADREDA, 65;24005;987253211;;
 C.O.S.;CASTILLA Y LEON;PALENCIA;PALENCIA; AVDA. DE CUBA, 1;34003;979165237;;
 CMDA. PALENCIA;CASTILLA Y LEON;PALENCIA;PALENCIA; AVDA. DE CUBA, 1;34003;979165822;;
 COMPA�IA DE HERRERA DE PISUERGA;CASTILLA Y LEON;PALENCIA;HERRERA DE PISUERGA; PSO. DE LOS TILOS, 7;34400;979130053;;
 COMPA�IA DE PALENCIA;CASTILLA Y LEON;PALENCIA;PALENCIA; AVDA. DE CUBA, 1;34003;979165822;;
 COMPA�IA DE SALDA�A;CASTILLA Y LEON;PALENCIA;SALDA�A; C/ CUATROPEA,40;34100;979892524;;
 PUESTO AUXILIAR DE CEVICO NAVERO;CASTILLA Y LEON;PALENCIA;CEVICO NAVERO; AVDA. GENERALISIMO, 3;34247;979790037;;
 PUESTO AUXILIAR DE FRECHILLA;CASTILLA Y LEON;PALENCIA;FRECHILLA; C/ CUARTEL, 3;34330;979830048;;
 PUESTO AUXILIAR DE FUENTES DE NAVA;CASTILLA Y LEON;PALENCIA;FUENTES DE NAVA; C/ HOYO DE SAN PELAYO, 10;34337;979837019;;
 PUESTO AUXILIAR DE SALINAS DE PISUERGA;CASTILLA Y LEON;PALENCIA;SALINAS DE PISUERGA; CTRA. BARRUELO, S/N;34830;979122013;;
 PUESTO AUXILIAR DE SANTIBA�EZ DE LA PE�A;CASTILLA Y LEON;PALENCIA;SANTIBA�EZ DE LA PE�A; CTRA. LA MAGDALENA, S/N;34870;979850428;;
 PUESTO DE AGUILAR DE CAMPOO;CASTILLA Y LEON;PALENCIA;AGUILAR DE CAMPOO; PSO. DE LAS TENERIAS, 2;34800;979122013;;
 PUESTO DE ALAR DEL REY;CASTILLA Y LEON;PALENCIA;ALAR DEL REY; C/ ABILIO CALDERON, 2;34480;979133002;;
 PUESTO DE AMPUDIA;CASTILLA Y LEON;PALENCIA;AMPUDIA; AVDA. VALLADOLID, 1;34160;979768036;;
 PUESTO DE AMUSCO;CASTILLA Y LEON;PALENCIA;AMUSCO; CTRA.SANTANDER N� 3;34420;979802053;;
 PUESTO DE ASTUDILLO;CASTILLA Y LEON;PALENCIA;ASTUDILLO;AVDA PUERTO LUMBRERAS, 5;34450;979822115;;
 PUESTO DE BALTANAS;CASTILLA Y LEON;PALENCIA;BALTANAS; CTRA. P-120.BARRIO FUENTE PINO;34240;979790037;;
 PUESTO DE BARRUELO DE SANTULLAN;CASTILLA Y LEON;PALENCIA;BARRUELO  DE SANTULLAN;C/ COVADONGA 50;34820;979606234;;
 PUESTO DE BECERRIL;CASTILLA Y LEON;PALENCIA;BECERRIL DE CAMPOS; CTRA. DE VILLADA, 18-20;34310;979833461;;
 PUESTO DE BUENAVISTA;CASTILLA Y LEON;PALENCIA;BUENAVISTA DE VALDAVIA; PZA. DUQUE DE AHUMADA, 1;34472;979895004;;
 PUESTO DE CARRION DE LOS CONDES;CASTILLA Y LEON;PALENCIA;CARRION DE LOS CONDES;AVDA HISTORIADOR RAMIREZ 13;34120;979880003;;
 PUESTO DE CERVERA DE PISUERGA;CASTILLA Y LEON;PALENCIA;CERVERA DE PISUERGA; C/ SAN ROQUE, 35;34840;979870082;;
 PUESTO DE CEVICO DE LA TORRE;CASTILLA Y LEON;PALENCIA;CEVICO DE LA TORRE; C/ COSTANILLA SAN MIGUEL, 7;34218;979783007;;
 PUESTO DE DUE�AS;CASTILLA Y LEON;PALENCIA;DUE�AS; C/ DEL CUARTEL, 1;34210;979780009;;
 PUESTO DE FROMISTA;CASTILLA Y LEON;PALENCIA;FROMISTA; C/ INGENIERO RIVERA, 2;34440;979810034;;
 PUESTO DE GUARDO;CASTILLA Y LEON;PALENCIA;GUARDO; C/ LA ERONA, 46;34880;979850428;;
 PUESTO DE HERRERA DE PISUERGA;CASTILLA Y LEON;PALENCIA;HERRERA DE PISUERGA; PSO. DE LOS TILOS, 7;34400;979130053;;
 PUESTO DE OSORNO;CASTILLA Y LEON;PALENCIA;OSORNO;AVDA DE LA GUARDIA CIVIL 5;34460;979817007;;
 PUESTO DE PALENCIA;CASTILLA Y LEON;PALENCIA;PALENCIA; AVDA. DE CUBA, 1;34003;979165244;;
 PUESTO DE PAREDES DE NAVA;CASTILLA Y LEON;PALENCIA;PAREDES DE NAVA; C/ LOS PASTORES, 2;34300;979830048;;
 PUESTO DE QUINTANA DEL PUENTE;CASTILLA Y LEON;PALENCIA;QUINTANA DEL PUENTE; C/ ANSELMO ARENILLAS, 25;34250;979792003;;
 PUESTO DE SALDA�A;CASTILLA Y LEON;PALENCIA;SALDA�A; C/ CUATROPEA, 40;34100;979892524;;
 PUESTO DE SAN SALVADOR;CASTILLA Y LEON;PALENCIA;SAN SALVADOR;C/ PUENTE S/N;34847;979879008;;
 PUESTO DE TORQUEMADA;CASTILLA Y LEON;PALENCIA;TORQUEMADA; AVDA. ALBERTO ACITORES, 78;34230;979800488;;
 PUESTO DE VELILLA;CASTILLA Y LEON;PALENCIA;VELILLA DEL RIO CARRION; AVDA.DE CASTILLA Y LEON, 09;34886;979861163;;
 PUESTO DE VENTA DE BA�OS;CASTILLA Y LEON;PALENCIA;VENTA DE BA�OS;AVDA DE BURGOS,32;34200;979770799;;
 PUESTO DE VILLADA;CASTILLA Y LEON;PALENCIA;VILLADA; CTRA. VILLALON, 2;34340;979844012;;
 PUESTO DE VILLARRAMIEL;CASTILLA Y LEON;PALENCIA;VILLARRAMIEL;AVDA DE LA ESTACION,52;34140;979837019;;
 PUESTO DE VILLOLDO;CASTILLA Y LEON;PALENCIA;VILLOLDO; C/ MAYOR, 47;34131;979827023;;
 C.O.S.;CASTILLA Y LEON;SALAMANCA;SALAMANCA; AVDA. CARLOS I, 2;37008;923127215;;
 CMDA. SALAMANCA;CASTILLA Y LEON;SALAMANCA;SALAMANCA; AVDA. CARLOS I, 2;37008;923127200;;
 COMPA�IA DE BEJAR;CASTILLA Y LEON;SALAMANCA;BEJAR; C/ OBISPO ZARRANZ Y PUEYO, 37;37700;923408082;;
 COMPA�IA DE CIUDAD RODRIGO;CASTILLA Y LEON;SALAMANCA;CIUDAD RODRIGO; C/ CARDENAL TAVERA, 1;37500;923498056;;
 COMPA�IA DE SALAMANCA;CASTILLA Y LEON;SALAMANCA;SALAMANCA; AVDA. CARLOS I, 2;37008;923127236;;
 COMPA�A DE SALAMANCA (PLM);CASTILLA Y LEON;SALAMANCA;SALAMANCA; AVDA. CARLOS I, 2;37008;923127232;;
 COMPA�IA DE VITIGUDINO;CASTILLA Y LEON;SALAMANCA;VITIGUDINO; C/ ACACIAS, 1;37210;923528138;;
 PUESTO DE ALBA DE TORMES;CASTILLA Y LEON;SALAMANCA;ALBA DE TORMES; C/ CUATROPEA, 46;37800;923370016;;
 PUESTO DE ALDEADAVILA DE LA RIBERA;CASTILLA Y LEON;SALAMANCA;ALDEADAVILA DE LA RIBERA; C/ LAS ERAS, 24;37250;923526366;;
 PUESTO DE BARRUECOPARDO;CASTILLA Y LEON;SALAMANCA;BARRUECO PARDO; C/ GUARDIA CIVIL, 24;37255;923507055;;
 PUESTO DE BEJAR;CASTILLA Y LEON;SALAMANCA;BEJAR; C/ OBISPO ZARRANZ Y PUEYO, 37;37700;923408082;;
 PUESTO DE VILLARES DE LA REINA;CASTILLA Y LEON;SALAMANCA;VILLARES DE LA REINA; PASEO DELICIAS, 139;37184;923287334;;
 PUESTO DE CANTALAPIEDRA;CASTILLA Y LEON;SALAMANCA;CANTALAPIEDRA; C/ MADRE MARIA AMPARO, 8;37400;923530031;;
 PUESTO DE CIUDAD RODRIGO;CASTILLA Y LEON;SALAMANCA;CIUDAD RODRIGO; C/ CARDENAL TAVERA, 1;37500;923498056;;
 PUESTO DE EL PAYO;CASTILLA Y LEON;SALAMANCA;EL PAYO; CTRA. SAN MARTIN, 78;37524;923486728;;
 PUESTO DE FUENTE DE SAN ESTEBAN;CASTILLA Y LEON;SALAMANCA;LA FUENTE DE SAN ESTEBAN; PSO. DE LA ESTACION, 19;37200;923440013;;
 PUESTO DE FUENTEGUINALDO;CASTILLA Y LEON;SALAMANCA;FUENTEGUINALDO; CTRA. NAVASFRIAS, S/n;37510;923471002;;
 PUESTO DE FUENTES DE O�ORO;CASTILLA Y LEON;SALAMANCA;FUENTES DE O�ORO; C/ PARIS, 1;37480;923473012;;
 PUESTO DE GALINDUSTE;CASTILLA Y LEON;SALAMANCA;GALINDUSTE; C/ SALAS POMBO, 123;37785;923391461;;
 PUESTO DE GUIJUELO;CASTILLA Y LEON;SALAMANCA;GUIJUELO; C/ PRINCIPE FELIPE, 56;37770;923580051;;
 PUESTO DE LA ALBERCA;CASTILLA Y LEON;SALAMANCA;LA ALBERCA; AVDA.GUARDIA CIVIL, 9;37624;923415229;;
 PUESTO DE LAGUNILLA;CASTILLA Y LEON;SALAMANCA;LAGUNILLA; AVDA. NUESTRA SE�ORA ASUNCION, 27;37724;923417833;;
 PUESTO DE LEDESMA;CASTILLA Y LEON;SALAMANCA;LEDESMA; C/ GUARDIA CIVIL, 12;37100;923570019;;
 PUESTO DE LEDRADA;CASTILLA Y LEON;SALAMANCA;LEDRADA; C/ GUARDIA CIVIL, 64;37730;923591006;;
 PUESTO DE LINARES RIOFRIO;CASTILLA Y LEON;SALAMANCA;LINARES DE RIOFRIO; C/ HUMILLADERO, 2 D;37760;923416084;;
 PUESTO DE LUMBRALES;CASTILLA Y LEON;SALAMANCA;LUMBRALES; CTRA. DE LA ESTACION, 122;37240;923512704;;
 PUESTO DE MACOTERA;CASTILLA Y LEON;SALAMANCA;MACOTERA; CTRA. PIEDRAHITA, 6;37310;923555004;;
 PUESTO DE MONLERAS;CASTILLA Y LEON;SALAMANCA;MONLERAS; CAMINO BERGANCIANO, 34;37171;923575011;;
 PUESTO DE NAVASFRIAS;CASTILLA Y LEON;SALAMANCA;NAVASFRIAS; C/ LA PAZ, 14;37542;923475002;;
 PUESTO DE PE�ARANDA DE BRACAMONTE;CASTILLA Y LEON;SALAMANCA;PE�ARANDA DE BRACAMONTE; C/ DUQUE DE AHUMADA, 1;37300;923542030;;
 PUESTO DE ROLLAN;CASTILLA Y LEON;SALAMANCA;ROLLAN; C/ HUERTA, 42;37447;923313057;;
 PUESTO DE SAN PEDRO DE ROZADOS;CASTILLA Y LEON;SALAMANCA;SAN PEDRO DE ROZADOS; C/ HOMBO, 11;37183;923344006;;
 PUESTO DE SANTI SPIRITUS;CASTILLA Y LEON;SALAMANCA;SANCTI-SPIRITUS; CAMINO DE LA ESTACION, 56;37470;923484015;;
 PUESTO DE TAMAMES;CASTILLA Y LEON;SALAMANCA;TAMAMES; AVDA. SALAMANCA, 51;37600;923449002;;
 PUESTO DE VILLARINO DE LOS AIRES;CASTILLA Y LEON;SALAMANCA;VILLARINO; C/ GUARDIA CIVIL, 64;37160;923573085;;
 PUESTO DE VILLAVIEJA DE YELTES;CASTILLA Y LEON;SALAMANCA;VILLAVIEJA DE YELTES; C/ GUARDIA CIVIL, 2;37260;923526062;;
 PUESTO DE VILLORIA;CASTILLA Y LEON;SALAMANCA;VILLORIA; AVDA. LAS VILLAS, 5;37339;923356008;;
 PUESTO DE VITIGUDINO;CASTILLA Y LEON;SALAMANCA;VITIGUDINO; C/ ACACIAS, 1;37210;923528138;;
 PUESTO P. DE SANTA MARTA;CASTILLA Y LEON;SALAMANCA;SANTA MARTA DE TORMES;C/ GUARDIA CIVIL s/n;37900;923200276;;
 SECCI�N SEGURIDAD CENTRO PENITENCIARIO TOPAS;CASTILLA Y LEON;SALAMANCA;SALAMANCA; AVDA. CARLOS I, 2;37008;923127200;;
 CCPA VILAR FORMOSO-FUENTES DE O�ORO;CASTILLA Y LEON;SALAMANCA;VILAR FORMOSO (PORTUGAL); AVDA. LARGO 25 ABRIL S/N;6355-217;629475394;;
 C.O.S.;CASTILLA Y LEON;SEGOVIA;SEGOVIA; CTRA. DE SAN RAFAEL, 1;40006;921421100;;
 CMDA. SEGOVIA;CASTILLA Y LEON;SEGOVIA;SEGOVIA; CTRA. DE SAN RAFAEL, 1;40006;921426363;;
 COMPA�IA DE CUELLAR;CASTILLA Y LEON;SEGOVIA;CUELLAR; CTRA. EL HENAR, 8;40200;921145194;;
 COMPA�IA DE SEGOVIA;CASTILLA Y LEON;SEGOVIA;SEGOVIA; CTRA. DE SAN RAFAEL, 1;40006;921413946;;
 COMPA�IA DE SEPULVEDA;CASTILLA Y LEON;SEGOVIA;SEPULVEDA; C/ COMANDANTE CRIST�BAL 9;40300;921540945;;
 PUESTO DE AGUILAFUENTE;CASTILLA Y LEON;SEGOVIA;AGUILAFUENTE; CTRA. DE ESCALONA S/N;40340;921572224;;
 PUESTO DE AYLLON;CASTILLA Y LEON;SEGOVIA;AYLLON; AVDA. RECONQUISTA 1;40520;921553057;;
 PUESTO DE BERNARDOS;CASTILLA Y LEON;SEGOVIA;BERNARDOS; CTRA. MIGUELA�EZ, 43;40430;921566525;;
 PUESTO DE BOCEGUILLAS;CASTILLA Y LEON;SEGOVIA;BOCEGUILLAS; C/ BAYONA, 45;40560;921543028;;
 PUESTO DE CANTALEJO;CASTILLA Y LEON;SEGOVIA;CANTALEJO; C/ REBOLLO, 8;40320;921522367;;
 PUESTO DE CANTIMPALOS;CASTILLA Y LEON;SEGOVIA;CANTIMPALOS; C/ CALVARIO, 10;40360;921496010;;
 PUESTO DE CARBONERO EL MAYOR;CASTILLA Y LEON;SEGOVIA;CARBONERO EL MAYOR; CTRA. BERNARDOS, 1;40270;921562191;;
 PUESTO DE COCA;CASTILLA Y LEON;SEGOVIA;COCA; AVDA. ICONA, 52;40480;921586004;;
 PUESTO DE CUELLAR;CASTILLA Y LEON;SEGOVIA;CUELLAR; CTRA. EL HENAR, 8;40200;921143420;;
 PUESTO DE EL ESPINAR;CASTILLA Y LEON;SEGOVIA;EL ESPINAR; PZA. EJIDILLO, 1;40400;921181029;;
 PUESTO DE EL ESPINAR (POLICIA JUDICIAL);CASTILLA Y LEON;SEGOVIA;EL ESPINAR; PZA. EJIDILLO, 1;40400;921183148;;
 PUESTO DE FUENTESAUCO DE FUENTIDUE�A;CASTILLA Y LEON;SEGOVIA;FUENTE SAUCO DE FUENTIDUE�A; C/ REAL SUR 19;40355;921169522;;
 PUESTO DE LASTRAS DE CUELLAR;CASTILLA Y LEON;SEGOVIA;LASTRAS DE CUELLAR; C/ ESCUELAS, 1;40352;921169189;;
 PUESTO DE MARTIN MU�OZ;CASTILLA Y LEON;SEGOVIA;MARTIN MU�OZ; C/ SAN JUAN 74;40446;920311002;;
 PUESTO DE MONTEJO DE AREVALO;CASTILLA Y LEON;SEGOVIA;MONTEJO DE AREVALO; C/ GINEBRA, 34;40468;920309092;;
 PUESTO DE NAVA DE ASUNCION;CASTILLA Y LEON;SEGOVIA;NAVA DE ASUNCION; C/ IN�S LOZANO 40 ;40450;921580029;;
 PUESTO DE NAVAFRIA;CASTILLA Y LEON;SEGOVIA;NAVAFRIA; CTRA. DEL PUERTO 48;40161;921506410;;
 PUESTO DE NAVALMANZANO;CASTILLA Y LEON;SEGOVIA;NAVALMANZANO; C/ EGIDO DE ABAJO 12;40280;921575003;;
 PUESTO DE NAVAS RIOFRIO;CASTILLA Y LEON;SEGOVIA;NAVAS DE RIOFRIO; CTRA. SEGOVIA, 44;40420;921480410;;
 PUESTO DE OTERO HERREROS;CASTILLA Y LEON;SEGOVIA;OTERO DE HERREROS; AVDA. DE LA ESTACION, 17;40422;921483008;;
 PUESTO DE PEDRAZA;CASTILLA Y LEON;SEGOVIA;PEDRAZA; C/ MAYOR, 21;40172;921509834;;
 PUESTO DE PRADENA;CASTILLA Y LEON;SEGOVIA;PRADENA; C/ TRAS EL ALBA S/N;40165;921507034;;
 PUESTO DE RIAZA;CASTILLA Y LEON;SEGOVIA;RIAZA; AV. DE MADRID 2;40500;921550010;;
 PUESTO DE SACRAMENIA;CASTILLA Y LEON;SEGOVIA;SACRAMENIA; CTRA. FUENTIDUE�A, 26;40237;921527032;;
 PUESTO DE SAN ILDEFONSO;CASTILLA Y LEON;SEGOVIA;SAN ILDEFONSO O LA GRANJA; PZA. DE ESPA�A, 14;40100;921470029;;
 PUESTO DE SAN RAFAEL;CASTILLA Y LEON;SEGOVIA;SAN RAFAEL; AVDA. ALTO DEL LEON, 51;40410;921171110;;
 PUESTO DE SANGARCIA;CASTILLA Y LEON;SEGOVIA;SANGARCIA; CTRA. DE ETREROS, 26;40134;921178013;;
 PUESTO DE SANTA MARIA;CASTILLA Y LEON;SEGOVIA;SANTA MARIA LA REAL DE NIEVA; C/ MAYOR, 57;40440;921595010;;
 PUESTO DE SEGOVIA;CASTILLA Y LEON;SEGOVIA;SEGOVIA; CTRA. DE SAN RAFAEL, 1;40006;921426363;;
